results/ece587_project_gcc_gshare_128KB.txt:bpred_2lev.misses            176659 # total number of misses
results/ece587_project_gcc_gshare_16KB.txt:bpred_2lev.misses            227423 # total number of misses
results/ece587_project_gcc_gshare_1MB.txt:bpred_2lev.misses            167665 # total number of misses
results/ece587_project_gcc_gshare_256KB.txt:bpred_2lev.misses            171469 # total number of misses
results/ece587_project_gcc_gshare_32KB.txt:bpred_2lev.misses            202632 # total number of misses
results/ece587_project_gcc_gshare_512KB.txt:bpred_2lev.misses            168423 # total number of misses
results/ece587_project_gcc_gshare_64KB.txt:bpred_2lev.misses            186221 # total number of misses
results/ece587_project_go_gshare_128KB.txt:bpred_2lev.misses            134850 # total number of misses
results/ece587_project_go_gshare_16KB.txt:bpred_2lev.misses            205765 # total number of misses
results/ece587_project_go_gshare_1MB.txt:bpred_2lev.misses            123539 # total number of misses
results/ece587_project_go_gshare_256KB.txt:bpred_2lev.misses            128043 # total number of misses
results/ece587_project_go_gshare_32KB.txt:bpred_2lev.misses            172020 # total number of misses
results/ece587_project_go_gshare_512KB.txt:bpred_2lev.misses            124689 # total number of misses
results/ece587_project_go_gshare_64KB.txt:bpred_2lev.misses            148792 # total number of misses
results/ece587_project_ijpeg_gshare_128KB.txt:bpred_2lev.misses             28295 # total number of misses
results/ece587_project_ijpeg_gshare_16KB.txt:bpred_2lev.misses             27018 # total number of misses
results/ece587_project_ijpeg_gshare_1MB.txt:bpred_2lev.misses             31671 # total number of misses
results/ece587_project_ijpeg_gshare_256KB.txt:bpred_2lev.misses             29280 # total number of misses
results/ece587_project_ijpeg_gshare_32KB.txt:bpred_2lev.misses             27029 # total number of misses
results/ece587_project_ijpeg_gshare_512KB.txt:bpred_2lev.misses             30429 # total number of misses
results/ece587_project_ijpeg_gshare_64KB.txt:bpred_2lev.misses             27603 # total number of misses
results/ece587_project_li_gshare_128KB.txt:bpred_2lev.misses             90097 # total number of misses
results/ece587_project_li_gshare_16KB.txt:bpred_2lev.misses            100566 # total number of misses
results/ece587_project_li_gshare_1MB.txt:bpred_2lev.misses             85625 # total number of misses
results/ece587_project_li_gshare_256KB.txt:bpred_2lev.misses             89289 # total number of misses
results/ece587_project_li_gshare_32KB.txt:bpred_2lev.misses             96832 # total number of misses
results/ece587_project_li_gshare_512KB.txt:bpred_2lev.misses             87084 # total number of misses
results/ece587_project_li_gshare_64KB.txt:bpred_2lev.misses             92423 # total number of misses
results/ece587_project_m88ksim_gshare_128KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_16KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_1MB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_256KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_32KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_512KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_m88ksim_gshare_64KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_perl_gshare_128KB.txt:bpred_2lev.misses             13658 # total number of misses
results/ece587_project_perl_gshare_16KB.txt:bpred_2lev.misses             13656 # total number of misses
results/ece587_project_perl_gshare_1MB.txt:bpred_2lev.misses             13657 # total number of misses
results/ece587_project_perl_gshare_256KB.txt:bpred_2lev.misses             13657 # total number of misses
results/ece587_project_perl_gshare_32KB.txt:bpred_2lev.misses             13656 # total number of misses
results/ece587_project_perl_gshare_512KB.txt:bpred_2lev.misses             13657 # total number of misses
results/ece587_project_perl_gshare_64KB.txt:bpred_2lev.misses             13658 # total number of misses
results/ece587_project_vortex_gshare_128KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_16KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_1MB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_256KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_32KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_512KB.txt:bpred_2lev.misses                 0 # total number of misses
results/ece587_project_vortex_gshare_64KB.txt:bpred_2lev.misses                 0 # total number of misses
